,編號,土地位置建物門牌,Latitude,Longitude,交易年月日,建築完成年月,總價元,單價元平方公尺,st_range
141,RPWNMLOKKIGGFBA67EA,臺北市中正區臨沂街６１巷２號四樓,25.0368696,121.5289375,1101110,1010625.0,69800000,343132.0,['東門']
142,RPROMLSJKIGGFBA57EA,臺北市萬華區康定路７４巷１１號四樓,25.042224,121.501811,1101119,610704.0,4000000,106980.0,[]
143,RPPNMLKKKIGGFAA09EA,臺北市文山區興隆路一段１０１號四樓之３,25.0026689,121.5417439,1101116,990729.0,8000000,70163.0,['萬隆']
145,RPQOMLKKJIGGFAA56EA,臺北市文山區興隆路二段８３號六樓,24.9993524,121.5468719,1101028,1031121.0,55000000,149640.0,[]
146,RPSOMLTJKIGGFFA08DA,臺北市大安區建國南路一段３０８號八樓,25.035577,121.5372902,1101122,1070412.0,75000000,257697.0,['大安森林公園']
147,RPUOMLQJKIGGFFA97DA,臺北市大安區大安路二段１３２巷１９號五樓,25.02999,121.5450062,1101124,740520.0,43500000,319547.0,"['科技大樓', '大安']"
148,RPSOMLNKKIGGFFA57DA,臺北市大安區杭州南路二段６１巷２５號二樓,25.0302206,121.523914,1101020,721008.0,32000000,269883.0,['古亭']
149,RPTOMLMKIIGGFFA37DA,臺北市大安區復興南路一段７９巷４弄２號十二樓之１,25.0443795,121.5443095,1100829,850708.0,41680000,272507.0,['忠孝復興']
151,RPPOMLPKJIGGFFA37DA,臺北市大安區忠孝東路三段２４８巷１９弄５０號二樓,25.0400795,121.5428338,1101029,1010911.0,27500000,268673.0,['忠孝復興']
152,RPUOMLTLJIGGFFA38DA,臺北市大安區建國南路二段５５號十二樓,25.0318765,121.5383504,1100902,1070802.0,354000000,706927.0,['大安森林公園']
153,RPTPMLRJKIGGFEA97DA,臺北市士林區永平街８０巷２號二樓,25.0915452,121.5053477,1101029,650921.0,8000000,106383.0,[]
154,RPOPMLNJKIGGFEA07DA,臺北市士林區葫蘆街１１巷１８號,25.079537,121.5103721,1101027,560220.0,8000000,99540.0,[]
155,RPTPMLMJKIGGFEA47DA,臺北市士林區忠義街１４１號九樓,25.1083863,121.5328824,1101115,800514.0,41880000,182032.0,[]
156,RPWPMLMJKIGGFEA77DA,臺北市北投區中央北路三段２５４號五樓,25.1358986,121.4797449,1101028,700130.0,12200000,106541.0,[]
157,RPUNMLMLJIGGFEA47DA,臺北市北投區同德街２號七樓之２,25.1248554,121.5270679,1100805,940923.0,15000000,190961.0,[]
158,RPQNMLLLJIGGFEA96DA,臺北市士林區福港街２６７之４號三樓,25.0834834,121.5178207,1101024,661209.0,12550000,175230.0,[]
159,RPRPMLTJJIGGFEA87DA,臺北市北投區三合街二段４５０號十樓,25.1269708,121.5024493,1101027,870714.0,9900000,200283.0,['奇岩']
160,RPSOMLTJKIGGFEA97DA,臺北市士林區德行東路６之１號,25.1064149,121.5251669,1101117,720420.0,21300000,181292.0,['芝山']
161,RPXOMLTJKIGGFEA48DA,臺北市北投區明德路２９３號二樓,25.1151427,121.521511,1101112,830805.0,21300000,171733.0,[]
162,RPSOMLKKKIGGFEA17DA,臺北市北投區尊賢街２３１號四樓,25.1159036,121.5076549,1101201,621229.0,6000000,104131.0,[]
163,RPOOMLKKKIGGFEA76DA,臺北市士林區小西街３６號五樓,25.0899403,121.5235002,1101118,720802.0,7200000,154606.0,['士林']
164,RPSNMLKKKIGGFDA96DA,臺北市信義區松德路１７１號十三樓之２,25.0357706,121.5748757,1101105,841212.0,46980000,215208.0,[]
165,RPWPMLLJKIGGFDA57DA,臺北市南港區經貿二路１５７巷３６弄１０２號三樓,25.0622333,121.6140364,1101130,1030306.0,55000000,199840.0,['南港軟體園區']
166,RPOOMLPLJIGGFDA17DA,臺北市南港區三重路４１巷３５號九樓之２,25.0603218,121.612955,1101101,1010119.0,49750000,169281.0,['南港軟體園區']
167,RPUPMLNLJIGGFDA67DA,臺北市信義區大道路１１５號,25.0396255,121.5831492,1100507,721209.0,41500000,214970.0,[]
168,RPPNMLOLJIGGFDA07DA,臺北市信義區大道路１１７號,25.0395362,121.5832383,1100507,721209.0,41500000,216292.0,[]
169,RPRQMLOLJIGGFDA57DA,臺北市信義區吳興街３３６巷３８號四樓,25.0255311,121.5651908,1101112,670120.0,15000000,162902.0,[]
170,RPOPMLKKJIGGFDA66DA,臺北市南港區成福路７４巷８號五樓之５,25.0439655,121.586309,1101109,1060710.0,30710000,296906.0,['後山埤']
172,RPVPMLQLIIGGFDA97DA,臺北市信義區信安街１０３巷６之６號,25.0228164,121.5609816,1090520,1100618.0,25880000,291834.0,[]
173,RPOOMLKKKIGGFCA56DA,臺北市內湖區康樂街２０巷４７號四樓,25.0688807,121.6169788,1101109,730512.0,14700000,138732.0,[]
174,RPRQMLTJKIGGFCA87DA,臺北市中山區樂群二路２６７號三樓之１０,25.0802022,121.5603473,1101130,1041027.0,76880000,294255.0,[]
175,RPSQMLTJKIGGFCA97DA,臺北市中山區樂群二路２６７號四樓之９,25.0801895,121.5606345,1101007,1041027.0,80000000,290742.0,[]
176,RPTQMLTJKIGGFCA08DA,臺北市內湖區五分街７２巷１號十一樓,25.067245,121.6165048,1101007,961025.0,33000000,201520.0,[]
177,RPPNMLTJKIGGFCA37DA,臺北市中山區南京東路三段１１２號十二樓,25.0517357,121.5401823,1101105,1091113.0,51380000,405259.0,['南京復興']
178,RPWOMLSJKIGGFCA08DA,臺北市內湖區新湖一路３０５號四樓,25.0628381,121.5834934,1101013,1091127.0,173200000,163889.0,[]
180,RPPNMLMKKIGGFCA76DA,臺北市內湖區南京東路六段４５１巷１７號四樓,25.0612988,121.5871966,1101203,981208.0,40380000,200222.0,[]
181,RPUOMLRJKIGGFCA77DA,臺北市中山區中山北路二段９３巷８號二樓之１６,25.0592125,121.5236232,1101006,940803.0,15500000,308519.0,"['雙連', '中山國小']"
182,RPTNMLLJKIGGFCA96DA,臺北市中山區德惠街１０號十二樓之３,25.0665942,121.5236245,1101105,930211.0,13550000,197407.0,[]
183,RPOQMLLJKIGGFCA76DA,臺北市內湖區新湖一路１４１號五樓,25.0587785,121.5766384,1101118,980623.0,51800000,137386.0,[]
184,RPOQMLTKJIGGFCA57DA,臺北市中山區天祥路１６號九樓之２,25.0610569,121.5209284,1101004,1050914.0,16180000,224317.0,"['雙連', '民權西路']"
185,RPRNMLLLJIGGFCA86DA,臺北市內湖區康樂街１３６巷３０弄５號五樓之３,25.0718774,121.6175999,1101030,1090424.0,31600000,171264.0,[]
186,RPQOMLRKJIGGFCA37DA,臺北市內湖區星雲街１６８巷７號十樓,25.0806351,121.5967726,1101031,841116.0,17200000,245749.0,['內湖']
187,RPROMLPLJIGGFCA37DA,臺北市中山區新生北路三段５８號六樓,25.0656476,121.5273562,1101030,711209.0,11580000,203873.0,['中山國小']
188,RPPPMLPKJIGGFCA17DA,臺北市中山區民生東路一段７７號六樓之９,25.0583353,121.5269643,1101028,810422.0,11000000,158960.0,['中山國小']
189,RPVRMLQLIIGGFCA08DA,臺北市內湖區文德路６６巷３８弄９號五樓,25.0755359,121.5817272,1101026,730211.0,15500000,118883.0,['文德']
190,RPORMLTKIIGGFCA57DA,臺北市內湖區金龍路６７巷８號九樓,25.0859038,121.5928438,1090408,1100806.0,31300000,214196.0,['內湖']
191,RPUOMLRLRHGGFCA58DA,臺北市中山區民權西路６５號十樓,25.0630749,121.5200962,1100925,1061031.0,89400000,347914.0,['民權西路']
192,RPUNMLKKKIGGFBA96DA,臺北市萬華區環河南路二段２７號九樓,25.0390718,121.4976387,1101124,1090807.0,27510000,192002.0,['龍山寺']
193,RPWNMLKKKIGGFBA17DA,臺北市萬華區中華路一段１８６號五樓之１,25.0389916,121.5069145,1101112,991119.0,31100000,228391.0,['西門']
194,RPRPMLTJKIGGFBA67DA,臺北市中正區濟南路一段１３巷６號八樓,25.042977,121.5222012,1070608,1100323.0,26880000,379442.0,['善導寺']
195,RPSPMLTJKIGGFBA77DA,臺北市中正區濟南路一段１３巷６號二樓之６,25.042977,121.5222012,1101025,1100323.0,19400000,346346.0,['善導寺']
196,RPTOMLSJKIGGFBA67DA,臺北市大同區重慶北路三段３６號十二樓之１,25.065217,121.5134235,1101113,1091119.0,26600000,267446.0,['大橋頭']
197,RPOOMLQJKIGGFBA96DA,臺北市萬華區武昌街二段１２４之２號九樓之１４,25.0453457,121.5038373,1101201,630806.0,8500000,160438.0,[]
